Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bygdøy,59.90852389999999,10.6769071,Kongsgården på Bygdøy,59.91163247403149,10.680984789780867,Farm
Frogner,59.9222241,10.7066491,eckers,59.92002,10.70772,Sandwich Place
Frogner,59.9222241,10.7066491,Frognerborgen lekeplass,59.92427517184612,10.706790776968406,Playground
Frogner,59.9222241,10.7066491,Vigeland-museet,59.922777352505676,10.701361912320026,Art Museum
Frogner,59.9222241,10.7066491,Vineria Ventidue,59.920364,10.705681,Italian Restaurant
Frogner,59.9222241,10.7066491,Vinmonopolet (Elisenberg),59.91881788400503,10.707471353351531,Wine Shop
Frogner,59.9222241,10.7066491,Vigelandsanlegget,59.926235753839585,10.703318998690822,Sculpture Garden
Frogner,59.9222241,10.7066491,Feinschmecker,59.918456106042186,10.708131275522424,Scandinavian Restaurant
Frogner,59.9222241,10.7066491,Oslo Museum; Bymuseet,59.92404618679297,10.702557146119801,History Museum
Frogner,59.9222241,10.7066491,W. B. Samson,59.91856750174063,10.708996177974765,Bakery
Frogner,59.9222241,10.7066491,Anne på landet,59.925085,10.704761,Café
Frogner,59.9222241,10.7066491,Brasserie Ouest,59.918584,10.706379,French Restaurant
Frogner,59.9222241,10.7066491,Fjelberg Fisk & Vilt,59.91835766592152,10.70531159006556,Gourmet Shop
Frogner,59.9222241,10.7066491,Frogner house Bygdoy alle 53,59.91820783387944,10.706444200523558,Boarding House
Frogner,59.9222241,10.7066491,BA 53,59.91820358284927,10.706487714669201,Scandinavian Restaurant
Frogner,59.9222241,10.7066491,Village Tandoori,59.91888360589669,10.702605810892607,Indian Restaurant
Frogner,59.9222241,10.7066491,Sinnataggen,59.926079534248245,10.703581135383063,Sculpture Garden
Frogner,59.9222241,10.7066491,Kaffebrenneriet,59.91931606722654,10.709117105834556,Coffee Shop
Frogner,59.9222241,10.7066491,Kolonihagen Frogner,59.91908021044409,10.710203242492415,Restaurant
Frogner,59.9222241,10.7066491,Vestkanttorget,59.92420261242503,10.713542103767395,Plaza
Frogner,59.9222241,10.7066491,Skafferiet,59.91841,10.70257,Gourmet Shop
Frogner,59.9222241,10.7066491,Enoteca,59.91827852198024,10.70496455788023,Italian Restaurant
Frogner,59.9222241,10.7066491,Expo Nova,59.919090303555905,10.701389160694658,Furniture / Home Store
Frogner,59.9222241,10.7066491,Café Elise,59.91888325998111,10.706226810453476,Café
Frogner,59.9222241,10.7066491,Bygdøy Sushi,59.919099208242336,10.701209235674481,Sushi Restaurant
Frogner,59.9222241,10.7066491,Dugg,59.918045,10.706782,Cosmetics Shop
Majorstuen,59.9291529,10.7153089,Pust,59.930430594453014,10.714795668231403,Café
Majorstuen,59.9291529,10.7153089,Kverneriet,59.92921393124729,10.71463445638419,Burger Joint
Majorstuen,59.9291529,10.7153089,Jacobs Majorstuen,59.9295293960556,10.71144008386749,Supermarket
Majorstuen,59.9291529,10.7153089,Colosseum Kino,59.92947550705538,10.710646878921946,Multiplex
Majorstuen,59.9291529,10.7153089,SATS,59.928507,10.710989,Gym / Fitness Center
Majorstuen,59.9291529,10.7153089,Mini Sushi,59.92955397685458,10.71269809837295,Sushi Restaurant
Majorstuen,59.9291529,10.7153089,Baker Hansen,59.92951372354014,10.716358918105799,Bakery
Majorstuen,59.9291529,10.7153089,Larsen Restaurant,59.92970748654097,10.713951514481648,Scandinavian Restaurant
Majorstuen,59.9291529,10.7153089,HiYoga,59.927497826446995,10.720615545634848,Yoga Studio
Majorstuen,59.9291529,10.7153089,Grains,59.930039,10.715751,Bakery
Majorstuen,59.9291529,10.7153089,Cru,59.927293,10.722774,Scandinavian Restaurant
Majorstuen,59.9291529,10.7153089,Bondens marked,59.92823127813769,10.717892358563292,Farmers Market
Majorstuen,59.9291529,10.7153089,Villa Paradiso,59.929092,10.718211,Pizza Place
Majorstuen,59.9291529,10.7153089,Pizza Pancetta,59.93034217383937,10.719244892095066,Pizza Place
Majorstuen,59.9291529,10.7153089,Weekday,59.927928,10.718019,Clothing Store
Majorstuen,59.9291529,10.7153089,W.B. Samson,59.929133012928006,10.716145564167642,Bakery
Majorstuen,59.9291529,10.7153089,Lille Vinkel Sko,59.928639690485674,10.717721923624028,Shoe Store
Majorstuen,59.9291529,10.7153089,The Pub,59.92767475624131,10.715608806144266,Pub
Majorstuen,59.9291529,10.7153089,Meny,59.930670776430034,10.710025350520253,Supermarket
Majorstuen,59.9291529,10.7153089,Crêpes Maison Majorstuen,59.93007619947128,10.71280554894514,Creperie
Majorstuen,59.9291529,10.7153089,Valkyrien Kaffe & Te,59.929108730141515,10.717128932471358,Coffee Shop
Majorstuen,59.9291529,10.7153089,The Highbury Pub,59.92748224045134,10.719008445739746,Pub
Majorstuen,59.9291529,10.7153089,Kaffebrenneriet,59.92822792427549,10.71805415345716,Coffee Shop
Majorstuen,59.9291529,10.7153089,Tatakii,59.928382,10.708593,Asian Restaurant
Majorstuen,59.9291529,10.7153089,Kaffebrenneriet,59.929915017354766,10.710840321220024,Coffee Shop
Majorstuen,59.9291529,10.7153089,Frognerbadet,59.92794118809644,10.707658732471103,Water Park
Majorstuen,59.9291529,10.7153089,Krishnas Cuisine,59.93025047528381,10.709741752082993,Vegetarian / Vegan Restaurant
Majorstuen,59.9291529,10.7153089,Den Gamle Major,59.928707985403406,10.715789794921875,Pub
Majorstuen,59.9291529,10.7153089,Norwegian Wood,59.92793773665725,10.706769405572233,Concert Hall
Majorstuen,59.9291529,10.7153089,Gate of India,59.928959977511774,10.715625379142075,Indian Restaurant
Majorstuen,59.9291529,10.7153089,Glassbaren,59.932307477949294,10.712349181602328,Bar
Majorstuen,59.9291529,10.7153089,Baker Hansen Bogstadveien,59.927525,10.720586,Bakery
Majorstuen,59.9291529,10.7153089,Valkyrien Burger,59.928151820054715,10.71822450572928,Burger Joint
Majorstuen,59.9291529,10.7153089,Espresso House,59.926849004473546,10.720384809103557,Café
Majorstuen,59.9291529,10.7153089,Vinmonopolet,59.93075039303557,10.710483862853097,Wine Shop
Majorstuen,59.9291529,10.7153089,Frogner Stadion,59.92743618166452,10.7100732745751,Soccer Stadium
Majorstuen,59.9291529,10.7153089,Baker Hansen,59.92811850497721,10.718186184424653,Bakery
Majorstuen,59.9291529,10.7153089,Le Rustique,59.92733498291734,10.716095522139266,Café
Majorstuen,59.9291529,10.7153089,House Of Sushi,59.92749329215328,10.721441342896005,Sushi Restaurant
